subcategory_key,subcategory_label,count,share_of_annotations,annotations_per_worker_paragraph,covered
no polarizing language,No Polarizing Language,137,0.266,0.4708,yes
exaggeration,Exaggeration,106,0.2058,0.3643,yes
slogans,Slogans,31,0.0602,0.1065,yes
bandwagon,Bandwagon,20,0.0388,0.0687,yes
casual oversimplification,Casual Oversimplification,24,0.0466,0.0825,yes
doubt,Doubt,49,0.0951,0.1684,yes
name-calling,Name-Calling,89,0.1728,0.3058,yes
demonization,Demonization,54,0.1049,0.1856,yes
scapegoating,Scapegoating,5,0.0097,0.0172,yes
