subcategory,unit_count,accept_votes,deny_votes,pairwise_percent_agreement,pairwise_percent_disagreement,exact_consensus_rate,krippendorff_alpha_nominal
no polarizing language,128,160,229,0.7103960396039604,0.28960396039603964,0.5703125,0.3972806485589353
exaggeration,103,168,134,0.6363636363636364,0.36363636363636365,0.47572815533980584,0.26595452044746004
casual oversimplification,24,35,36,0.45714285714285713,0.5428571428571429,0.20833333333333334,-0.0788398692810457
doubt,48,106,42,0.6346153846153846,0.3653846153846154,0.4583333333333333,0.11854209139277017
bandwagon,20,30,26,0.6923076923076923,0.3076923076923077,0.6,0.38962962962962955
slogans,31,65,28,0.6129032258064516,0.3870967741935484,0.41935483870967744,0.0851648351648352
scapegoating,4,7,5,0.5,0.5,0.25,0.014285714285714346
name-calling,85,134,130,0.686411149825784,0.313588850174216,0.5176470588235295,0.3737248615563976
demonization,52,96,61,0.639751552795031,0.36024844720496896,0.4807692307692308,0.24611273080660834
