Prompt,Level,LLM Ann.,Human Ann.,TP,FP,FN,Precision,Recall,F1,Span IoU
V1 conservative,Span,77,70,42,35,28,0.545,0.600,0.571,0.400
V1 conservative,Category,77,70,35,42,35,0.455,0.500,0.476,0.312
V1 conservative,Subcategory,77,70,31,46,39,0.403,0.443,0.422,0.267
V2 fewshot boundaries,Span,67,70,43,24,27,0.642,0.614,0.628,0.457
V2 fewshot boundaries,Category,67,70,30,37,40,0.448,0.429,0.438,0.280
V2 fewshot boundaries,Subcategory,67,70,27,40,43,0.403,0.386,0.394,0.245
V3 high precision adjudicated,Span,68,70,39,29,31,0.574,0.557,0.565,0.394
V3 high precision adjudicated,Category,68,70,30,38,40,0.441,0.429,0.435,0.278
V3 high precision adjudicated,Subcategory,68,70,26,42,44,0.382,0.371,0.377,0.232
